id:ID,version,sequence_end,length,name,organism_id,seq_chunk_size,sequence_start,:LABEL
21,0,1382403,1382403,Group1.1,19,20000,0,SEQUENCE
22,0,1405242,1405242,Group1.10,19,20000,0,SEQUENCE
23,0,2557,2557,Group1.11,19,20000,0,SEQUENCE
24,0,4728,4728,Group1.12,19,20000,0,SEQUENCE
25,0,5741,5741,Group1.13,19,20000,0,SEQUENCE
26,0,451513,451513,Group1.14,19,20000,0,SEQUENCE
27,0,1227296,1227296,Group1.15,19,20000,0,SEQUENCE
28,0,731410,731410,Group1.16,19,20000,0,SEQUENCE
29,0,716596,716596,Group1.17,19,20000,0,SEQUENCE
30,0,166954,166954,Group1.18,19,20000,0,SEQUENCE
31,0,370959,370959,Group1.19,19,20000,0,SEQUENCE
32,0,890726,890726,Group1.2,19,20000,0,SEQUENCE
33,0,48872,48872,Group1.20,19,20000,0,SEQUENCE
34,0,673331,673331,Group1.21,19,20000,0,SEQUENCE
35,0,682149,682149,Group1.22,19,20000,0,SEQUENCE
36,0,1527290,1527290,Group1.23,19,20000,0,SEQUENCE
37,0,1962,1962,Group1.24,19,20000,0,SEQUENCE
38,0,449272,449272,Group1.25,19,20000,0,SEQUENCE
39,0,90960,90960,Group1.26,19,20000,0,SEQUENCE
40,0,417775,417775,Group1.27,19,20000,0,SEQUENCE
41,0,158922,158922,Group1.28,19,20000,0,SEQUENCE
42,0,1952552,1952552,Group1.29,19,20000,0,SEQUENCE
43,0,797889,797889,Group1.3,19,20000,0,SEQUENCE
44,0,232100,232100,Group1.30,19,20000,0,SEQUENCE
45,0,758083,758083,Group1.31,19,20000,0,SEQUENCE
46,0,697381,697381,Group1.32,19,20000,0,SEQUENCE
47,0,536125,536125,Group1.33,19,20000,0,SEQUENCE
48,0,850920,850920,Group1.34,19,20000,0,SEQUENCE
49,0,742644,742644,Group1.35,19,20000,0,SEQUENCE
50,0,213631,213631,Group1.36,19,20000,0,SEQUENCE
51,0,2349843,2349843,Group1.37,19,20000,0,SEQUENCE
52,0,108724,108724,Group1.38,19,20000,0,SEQUENCE
53,0,125803,125803,Group1.39,19,20000,0,SEQUENCE
54,0,319845,319845,Group1.4,19,20000,0,SEQUENCE
55,0,631561,631561,Group1.40,19,20000,0,SEQUENCE
