id,version,feature_id:START_ID,fmax,fmin,is_fmax_partial,is_fmin_partial,locgroup,phase,rank,residue_info,sequence_id:END_ID,strand,:TYPE
351532,0,351531,872,283,f,f,0,,0,,168641,1,FEATURE_LOCATION
351534,0,351533,872,283,f,f,0,,0,,168641,1,FEATURE_LOCATION
351536,0,351535,701,283,f,f,0,,0,,168641,1,FEATURE_LOCATION
351539,0,351538,872,777,f,f,0,,0,,168641,1,FEATURE_LOCATION
351542,1,351541,872,379,f,f,0,,0,,168641,1,FEATURE_LOCATION
351771,0,351770,521265,520942,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351774,0,351773,521689,521364,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351777,0,351776,522202,521914,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351780,0,351779,522993,522553,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351783,0,351782,522588,520301,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351790,0,351789,3673880,3668524,f,f,0,,0,,165764,1,FEATURE_LOCATION
351792,0,351791,3668608,3668524,f,f,0,,0,,165764,1,FEATURE_LOCATION
351795,0,351794,3670860,3670527,f,f,0,,0,,165764,1,FEATURE_LOCATION
351798,0,351797,3672168,3671998,f,f,0,,0,,165764,1,FEATURE_LOCATION
351801,0,351800,3672869,3672547,f,f,0,,0,,165764,1,FEATURE_LOCATION
351804,0,351803,3673880,3673259,f,f,0,,0,,165764,1,FEATURE_LOCATION
351807,0,351806,3673880,3668524,f,f,0,,0,,165764,1,FEATURE_LOCATION
351814,0,351813,2718765,2716737,f,f,0,,0,,165764,1,FEATURE_LOCATION
351816,0,351815,2717046,2716737,f,f,0,,0,,165764,1,FEATURE_LOCATION
351819,0,351818,2717581,2717473,f,f,0,,0,,165764,1,FEATURE_LOCATION
351822,0,351821,2717835,2717661,f,f,0,,0,,165764,1,FEATURE_LOCATION
351825,0,351824,2718125,2717921,f,f,0,,0,,165764,1,FEATURE_LOCATION
351828,0,351827,2718417,2718214,f,f,0,,0,,165764,1,FEATURE_LOCATION
351831,0,351830,2718765,2718479,f,f,0,,0,,165764,1,FEATURE_LOCATION
351834,0,351833,2718677,2716880,f,f,0,,0,,165764,1,FEATURE_LOCATION
351839,0,351838,1638042,1552858,f,f,0,,0,,165764,1,FEATURE_LOCATION
351841,0,351840,1638042,1552858,f,f,0,,0,,165764,1,FEATURE_LOCATION
351843,0,351842,1552963,1552858,f,f,0,,0,,165764,1,FEATURE_LOCATION
351846,0,351845,1584662,1584458,f,f,0,,0,,165764,1,FEATURE_LOCATION
351849,0,351848,1585379,1585037,f,f,0,,0,,165764,1,FEATURE_LOCATION
351852,0,351851,1612839,1612766,f,f,0,,0,,165764,1,FEATURE_LOCATION
351855,0,351854,1632582,1632398,f,f,0,,0,,165764,1,FEATURE_LOCATION
351858,0,351857,1636006,1635647,f,f,0,,0,,165764,1,FEATURE_LOCATION
351861,0,351860,1637194,1636866,f,f,0,,0,,165764,1,FEATURE_LOCATION
351864,0,351863,1637505,1637311,f,f,0,,0,,165764,1,FEATURE_LOCATION
351867,0,351866,1638042,1637594,f,f,0,,0,,165764,1,FEATURE_LOCATION
351870,0,351869,1637758,1552858,f,f,0,,0,,165764,1,FEATURE_LOCATION
351877,0,351876,1430943,1426879,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351879,0,351878,1427146,1426879,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351882,0,351881,1430943,1430612,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351885,0,351884,1430726,1426879,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351890,0,351889,847571,841576,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351892,0,351891,847571,841576,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351894,0,351893,841828,841576,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351897,0,351896,842091,841908,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351900,0,351899,842465,842181,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351903,0,351902,842679,842554,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351906,0,351905,842875,842753,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351909,0,351908,843092,842954,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351912,0,351911,843227,843200,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351915,0,351914,844111,843698,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351918,0,351917,847571,844195,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351921,0,351920,847571,841576,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351928,0,351927,2089910,2087984,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351930,0,351929,2088089,2087984,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351933,0,351932,2089910,2089823,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351936,0,351935,2089910,2087984,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351941,0,351940,529916,524518,f,f,0,,0,,165764,1,FEATURE_LOCATION
351943,0,351942,529916,524518,f,f,0,,0,,165764,1,FEATURE_LOCATION
351945,0,351944,526666,524518,f,f,0,,0,,165764,1,FEATURE_LOCATION
351948,0,351947,527110,526756,f,f,0,,0,,165764,1,FEATURE_LOCATION
351951,0,351950,528017,527181,f,f,0,,0,,165764,1,FEATURE_LOCATION
351954,0,351953,528303,528079,f,f,0,,0,,165764,1,FEATURE_LOCATION
351957,0,351956,528628,528392,f,f,0,,0,,165764,1,FEATURE_LOCATION
351960,0,351959,528890,528703,f,f,0,,0,,165764,1,FEATURE_LOCATION
351963,0,351962,529093,528967,f,f,0,,0,,165764,1,FEATURE_LOCATION
351966,0,351965,529281,529159,f,f,0,,0,,165764,1,FEATURE_LOCATION
351969,0,351968,529505,529360,f,f,0,,0,,165764,1,FEATURE_LOCATION
351972,0,351971,529660,529560,f,f,0,,0,,165764,1,FEATURE_LOCATION
351975,0,351974,529916,529741,f,f,0,,0,,165764,1,FEATURE_LOCATION
351978,0,351977,529916,524518,f,f,0,,0,,165764,1,FEATURE_LOCATION
351983,0,351982,3849410,3802191,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351985,0,351984,3849410,3802191,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351987,0,351986,3803991,3802191,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351990,0,351989,3804328,3804071,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351993,0,351992,3808185,3807853,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351548,0,351547,1330811,1324236,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351550,0,351549,1330811,1324236,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351552,0,351551,1329408,1324236,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351555,0,351554,1330811,1329490,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351558,0,351557,1330388,1328725,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351565,0,351564,399945,391447,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351567,0,351566,394796,391447,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351570,0,351569,399608,399155,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351573,0,351572,399945,399802,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351576,0,351575,399581,394439,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351583,0,351582,596017,580461,f,f,0,,0,,165764,1,FEATURE_LOCATION
351585,0,351584,580553,580461,f,f,0,,0,,165764,1,FEATURE_LOCATION
351588,0,351587,595904,595776,f,f,0,,0,,165764,1,FEATURE_LOCATION
351591,0,351590,596017,595976,f,f,0,,0,,165764,1,FEATURE_LOCATION
171589,0,171588,108552,106272,f,f,0,,0,,171584,-1,FEATURE_LOCATION
171591,0,171590,108552,106272,f,f,0,,0,,171584,-1,FEATURE_LOCATION
171593,0,171592,108552,106272,f,f,0,,0,,171584,-1,FEATURE_LOCATION
171598,0,171597,108552,106272,f,f,0,,0,,171584,-1,FEATURE_LOCATION
351594,0,351593,596017,580461,f,f,0,,0,,165764,1,FEATURE_LOCATION
351599,0,351598,2186427,2182375,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351601,0,351600,2186427,2182375,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351603,0,351602,2182456,2182375,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351606,0,351605,2182707,2182539,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351609,0,351608,2182956,2182792,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351612,0,351611,2183217,2183033,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351615,0,351614,2183564,2183308,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351618,0,351617,2183811,2183639,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351621,0,351620,2184319,2183915,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351624,0,351623,2184725,2184438,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351627,0,351626,2185515,2185323,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351630,0,351629,2185946,2185761,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351633,0,351632,2186427,2186246,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351636,0,351635,2186427,2182375,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351640,0,351639,2184436,2184436,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351644,0,351643,811323,807722,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351646,0,351645,811323,807722,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351648,0,351647,808350,807722,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351651,0,351650,809332,808372,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351654,0,351653,809559,809508,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351657,0,351656,809921,809686,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351660,0,351659,810234,810009,f,f,0,,0,,165764,-1,FEATURE_LOCATION
351663,0,351662,810534,810307,f,f,0,,0,,165764,-1,FEATURE_LOCATION
